name,link,date_added
DB Bench Press (Supino Reto com Halteres),https://www.youtube.com/watch?v=jVvkWV_h7Es,2024-08-08 17:20:56
Bench Press (Supino Reto),https://www.youtube.com/watch?v=Xgnvm3RkW0o,2024-08-08 17:20:56
Dual DB Shoulder Press (Desenvolvimento militar com dois halteres),https://www.youtube.com/watch?v=G2Q40ydRr-U,2024-08-08 17:20:56
Split Stance Single Kettlebell Press (Desenvolvimento unilateral com base tesoura),https://www.youtube.com/watch?v=BfZ6L7ZTJCI,2024-08-08 17:20:56
Dual Kettlebell Shoulder Press (Desenvolvimento militar com dois Kettlebell),https://www.youtube.com/watch?v=xuvCo8ZY2t8,2024-08-08 17:20:56
Barbell Shoulder Press (Desenvolvimento militar com barra),https://www.youtube.com/watch?v=zOgPnpvzDzg,2024-08-08 17:20:56
Barbell Push Press,https://www.youtube.com/watch?v=0neGRp43hzg,2024-08-08 17:20:56
Triceps Extension (Triceps Testa),https://www.youtube.com/watch?v=YnDWqqhbT-w,2024-08-08 17:20:56
Bench Dips (Triceps Mergulho no banco),https://www.youtube.com/watch?v=xrLdC6qR5jg,2024-08-08 17:20:56
Front Raise (Elevacao Frontal),https://www.youtube.com/watch?v=WzoQC4LEBJ4,2024-08-08 17:20:56
Crunches (Abdominal supra),https://www.youtube.com/watch?v=RcIdCf7CDRE,2024-08-08 17:20:56
Medball Crunches (Abdominal com Medball),https://www.youtube.com/watch?v=lDMz7jvywY8,2024-08-08 17:20:56
Butterfly Crunch (Abdominal borboleta),https://www.youtube.com/watch?v=2jsDOU-K9lU,2024-08-08 17:20:56
Bent Hollow (Abdominal com pernas em 90),https://www.youtube.com/watch?v=TQ6JlgUwdSM,2024-08-08 17:20:56
Bent Hollow Rock (Abdominal em balanco com pernas 90),https://www.youtube.com/watch?v=YQkv6DEj1EQ,2024-08-08 17:20:56
Bent Hundreds Arm Flutter (Movimentacao de bracos nadadeira com pernas 90),https://www.youtube.com/watch?v=3x_P0hAPaf0,2024-08-08 17:20:56
Bent Hollow Flutter Kicks (Movimentacao de pernas estendidas em canoa),https://www.youtube.com/watch?v=i4dndSHrkV0,2024-08-08 17:20:56
Flutter Kicks (Abdominal com batidas de pes),https://www.youtube.com/watch?v=XNDtuXZCXTE,2024-08-08 17:20:56
Cross Body L Crunches (Abdominal com toques cruzados em pernas estendidas),https://www.youtube.com/watch?v=rn77Tq3szhw,2024-08-08 17:20:56
L Crunch (Abdominal com pernas estendidas),https://www.youtube.com/watch?v=mzJ9777mS4A,2024-08-08 17:20:56
Weight L Crunch (Abdominal com pernas estendidas segurando anilha),https://www.youtube.com/watch?v=vuZ3EY4YqKg,2024-08-08 17:20:56
Turkish Sit Up (Subida Turca),https://www.youtube.com/watch?v=R0iosQbxcWs,2024-08-08 17:20:56
Reverse Crunch (Abdominal infra),https://www.youtube.com/watch?v=ZBynmJTnm1s,2024-08-08 17:20:56
Lying Knee to Leg Raise (Abdominal infra com extensao e Flexao de pernas),https://www.youtube.com/watch?v=WP09AdeRy5o,2024-08-08 17:20:56
Dual Leg Raise (Abdominal infra com elevacao de pernas),https://www.youtube.com/watch?v=2aYoQLaOECc,2024-08-08 17:20:56
Figure 4 Leg Lifts (Elevacao de pernas em figura 4),https://www.youtube.com/watch?v=YgA2_RLbzVA,2024-08-08 17:20:56
Alternating Figure 4 Leg Lift (Elevacao de pernas alternadas com figura 4),https://www.youtube.com/watch?v=PLNHOmU_i-E,2024-08-08 17:20:56
Dual Kettlebell Leg Lowering (Abdominal infra com elevacao de pernas mantendo Kettlebell estaticos),https://www.youtube.com/watch?v=GdEavFcrCHw,2024-08-08 17:20:56
Leg Pike Single (Elevacao unilateral de pernas sentado),https://www.youtube.com/watch?v=H-jAWJiTHtc,2024-08-08 17:20:56
Leg Pike (Elevacao de pernas sentado),https://www.youtube.com/watch?v=yFfJcjOZRO8,2024-08-08 17:20:56
Leg Pike Lift Overs (Elevacao de pernas sentado passando por cima de obstaculo),https://www.youtube.com/watch?v=l3_iV6POVHg,2024-08-08 17:20:56
Leg Pike Flutter Kicks (Batidas de pernas sentado),https://www.youtube.com/watch?v=aYLmy8g3GZQ,2024-08-08 17:20:56
Crunches Rotation (Abdominal com rotacao),https://www.youtube.com/watch?v=f1nOAPUXk9A,2024-08-08 17:20:56
Crunches Elbow to Knees (Abdominal cotovelos nos joelhos),https://www.youtube.com/watch?v=OIRCEN02AMY,2024-08-08 17:20:56
Butterfly Cross Knees Touch (Abdominal borboleta com toques cruzados nos joelhos),https://www.youtube.com/watch?v=BIUKrRhQQek,2024-08-08 17:20:56
Oblique Cross Crunches (Abdominal obliquo cruzado),https://www.youtube.com/watch?v=R5M5ioIQXjI,2024-08-08 17:20:56
Bicycle Crunch (Abdominal Bicicleta),https://www.youtube.com/watch?v=JPw4Vv4HayA,2024-08-08 17:20:56
Single Tuck Up (Remador unilateral sem tocar os pes no chao),https://www.youtube.com/watch?v=UXuIWYlFZq0,2024-08-08 17:20:56
Tuck Up (Abdominal Remador sem tocar os pes no chao),https://www.youtube.com/watch?v=IT-ZNo0CPIs,2024-08-08 17:20:56
V Up Diagonal (Canivele uniletaral cruzado com uma perna flexionada e outra estentida),https://www.youtube.com/watch?v=LoR3gWhPnnI,2024-08-08 17:20:56
V Up Alternating (Canivete alternando pernas),https://www.youtube.com/watch?v=JWTbXDDrvS0,2024-08-08 17:20:56
V Up (Abdominal Canivete),https://www.youtube.com/watch?v=cFIpypLFUX0,2024-08-08 17:20:56
V up to V (Abdominal Canivete abrindo as pernas),https://www.youtube.com/watch?v=J-7jwjhg6Gw,2024-08-08 17:20:56
Deadbug,https://www.youtube.com/watch?v=LW2ReC1V8Dw,2024-08-08 17:20:56
Pullover Deadbug,https://www.youtube.com/watch?v=RGF5KwwJ2yE,2024-08-08 17:20:56
Hollow Top Flutter Kicks (Canoa com batidas de pernas no alto),https://www.youtube.com/watch?v=vb6iXbl8pKE,2024-08-08 17:20:56
Hollow Rock (Canoa em balanco),https://www.youtube.com/watch?v=SS2GRVVN3lc,2024-08-08 17:20:56
Hollow Angel (Canoa com movimentacao de anjo),https://www.youtube.com/watch?v=mEvPku9ypy0,2024-08-08 17:20:56
Hollow Flutter Kicks (Canoa com batidas de pernas),https://www.youtube.com/watch?v=RAIZPPN5piI,2024-08-08 17:20:56
Hollow Flutter Siccors (Canoa com movimentacoes de pernas em tesoura),https://www.youtube.com/watch?v=lmEWWE4L1rc,2024-08-08 17:20:56
Weighted Hollow Hold (Canoa em isometria com peso),https://www.youtube.com/watch?v=zQ1p9V0o1Tc,2024-08-08 17:20:56
Pullover Hollow Hold (Pullover em canoa),https://www.youtube.com/watch?v=uXVgrmmVZxY,2024-08-08 17:20:56
Side Crunches (Abdominal Lateral),https://www.youtube.com/watch?v=RKIyeTUau44,2024-08-08 17:20:56
Forearm Side Plank (Prancha baixa lateral),https://www.youtube.com/watch?v=xYAAvnU_Mww,2024-08-08 17:20:56
Side Plank Hip Lift (Prancha lateral com elevacao de quadril),https://www.youtube.com/watch?v=STCfhYTmeZM,2024-08-08 17:20:56
Side Plank Leg Lift (Prancha lateral com elevacao de pernas),https://www.youtube.com/watch?v=3sVRCKxzc78,2024-08-08 17:20:56
Side Plank Rotations (Prancha lateral com rotacao),https://www.youtube.com/watch?v=HZncoaV9gRg,2024-08-08 17:20:56
